time_ms	current_mA	power_mW
2303	0.00	0.00
2305	-0.20	0.00
2307	-0.20	0.00
2309	-0.20	0.00
2312	0.00	0.00
2314	-0.10	0.00
2316	-0.20	0.00
2319	-0.20	0.00
2321	0.10	0.00
2323	-0.10	0.00
2326	-0.30	0.00
2328	0.00	0.00
2330	-0.20	0.00
2333	-0.10	0.00
2335	-0.20	0.00
2337	-0.30	0.00
2339	-0.10	0.00
2342	-0.20	0.00
2344	-0.10	0.00
2346	-0.30	0.00
2349	-0.30	0.00
2351	-0.20	0.00
2353	-0.10	0.00
2356	0.00	0.00
2358	-0.20	0.00
2360	-0.10	0.00
2362	-0.20	0.00
2365	-0.20	0.00
2367	0.00	0.00
2369	0.00	0.00
2372	-0.10	0.00
2374	-0.30	0.00
2376	-0.10	0.00
2379	-0.20	0.00
2381	0.20	0.00
2383	-0.10	0.00
2386	0.00	0.00
2388	-0.30	0.00
2390	0.00	0.00
2392	0.00	0.00
2395	0.10	0.00
2397	-0.40	0.00
2399	0.00	0.00
2402	-0.10	0.00
2404	-0.40	0.00
2406	-0.20	0.00
2409	-0.10	0.00
2411	-0.10	0.00
2413	0.30	0.00
2415	-0.20	0.00
2418	-0.30	0.00
2420	-0.20	0.00
2422	0.00	0.00
2425	0.00	0.00
2427	-0.10	0.00
2429	-0.20	0.00
2432	-0.10	0.00
2434	0.00	0.00
2436	-0.10	0.00
2438	-0.10	0.00
2441	0.00	0.00
2443	-0.10	0.00
2445	-0.20	0.00
2448	0.00	0.00
2450	-0.20	0.00
2452	-0.40	0.00
2455	0.10	0.00
2457	0.00	0.00
2459	0.00	0.00
2461	-0.10	0.00
2464	0.20	0.00
2466	0.10	0.00
2468	-0.30	0.00
2471	-0.30	0.00
2473	-0.30	0.00
2475	0.00	0.00
2478	-0.20	0.00
2480	-0.30	0.00
2482	-0.10	0.00
2485	-0.30	0.00
2487	-0.40	0.00
2489	-0.10	0.00
2491	-0.20	0.00
2494	0.00	0.00
2496	-0.20	0.00
2498	-0.20	0.00
2501	-0.20	0.00
2503	-0.40	0.00
2505	0.10	0.00
2508	-0.20	0.00
2510	-0.20	0.00
2512	-0.10	0.00
2515	-0.20	0.00
2517	0.10	0.00
2519	-0.10	0.00
2521	-0.20	0.00
2524	-0.30	0.00
2526	-0.30	0.00
2528	-0.10	0.00
2531	-0.40	0.00
2533	-0.10	0.00
2535	-0.30	0.00
2538	0.00	0.00
2540	-0.10	0.00
2542	-0.10	0.00
2545	0.00	0.00
2547	-0.30	0.00
2549	0.00	0.00
2551	-0.30	0.00
2554	-0.10	0.00
2556	-0.30	0.00
2558	-0.20	0.00
2561	-0.40	0.00
2563	-0.10	0.00
2565	-0.10	0.00
2568	-0.30	0.00
2570	-0.30	0.00
2572	0.00	0.00
2575	-0.30	0.00
2577	0.10	0.00
2579	-0.20	0.00
2581	-0.10	0.00
2584	-0.10	0.00
2586	-0.30	0.00
2588	-0.10	0.00
2591	0.00	0.00
2593	0.10	0.00
2595	-0.10	0.00
2598	-0.10	0.00
2600	-0.10	0.00
2602	-0.20	0.00
2604	-0.20	0.00
2607	-0.10	0.00
2609	0.30	0.00
2611	-0.30	0.00
2614	-0.20	0.00
2616	-0.20	0.00
2618	-0.10	0.00
2621	-0.20	0.00
2623	-0.30	0.00
2625	-0.30	0.00
2628	-0.20	0.00
2630	-0.10	0.00
2632	-0.20	0.00
2634	0.00	0.00
2637	-0.30	0.00
2639	-0.20	0.00
2641	0.00	0.00
2644	-0.30	0.00
2646	-0.30	0.00
2648	-0.30	0.00
2651	-0.20	0.00
2653	0.00	0.00
2655	-0.10	0.00
2657	-0.40	0.00
2660	-0.40	0.00
2662	-0.10	0.00
2664	-0.10	0.00
2667	0.00	0.00
2669	-0.30	0.00
2671	0.00	0.00
2674	-0.20	0.00
2676	-0.10	0.00
2678	0.00	0.00
2680	-0.20	0.00
2683	-0.20	0.00
2685	-0.10	0.00
2687	-0.30	0.00
2690	-0.30	0.00
2692	-0.10	0.00
2694	-0.20	0.00
2697	-0.20	0.00
2699	-0.20	0.00
2701	-0.20	0.00
2704	-0.20	0.00
2706	-0.20	0.00
2708	-0.20	0.00
2710	0.00	0.00
2713	-0.20	0.00
2715	-0.10	0.00
2717	0.00	0.00
2720	0.00	0.00
2722	0.00	0.00
2724	0.00	0.00
2727	-0.10	0.00
2729	-0.40	0.00
2731	-0.10	0.00
2733	-0.10	0.00
2736	-0.20	0.00
2738	0.00	0.00
2740	-0.10	0.00
2743	-0.40	0.00
2745	-0.30	0.00
2747	-0.20	0.00
2750	-0.10	0.00
2752	-0.30	0.00
2754	0.00	0.00
2757	-0.30	0.00
2759	-0.30	0.00
2761	-0.20	0.00
2763	-0.10	0.00
2766	-0.20	0.00
2768	-0.20	0.00
2770	-0.10	0.00
2773	0.00	0.00
2775	-0.40	0.00
2777	0.00	0.00
2780	-0.20	0.00
2782	-0.30	0.00
2784	0.00	0.00
2787	-0.20	0.00
2789	-0.20	0.00
2791	-0.10	0.00
2793	-0.10	0.00
2796	0.00	0.00
2798	-0.10	0.00
2800	-0.30	0.00
2803	-0.10	0.00
2805	-0.10	0.00
2807	0.00	0.00
2810	-0.20	0.00
2812	0.00	0.00
2814	-0.30	0.00
